NUI,Date,Value
169068,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
169106,'2022-JUL',99 [99-LECTURA CONFIRMADA]
169168,'2022-JUL',MAL REPORTADO EN TC2
169218,'2022-JUL',16 [16-MEDIDOR DANADO]
169222,'2022-JUL',99 [99-LECTURA CONFIRMADA]
169284,'2022-JUL',MAL REPORTADO EN TC2
169296,'2022-JUL',MAL REPORTADO EN TC2
169302,'2022-JUL',MAL REPORTADO EN TC2
169312,'2022-JUL',99 [99-LECTURA CONFIRMADA]
169314,'2022-JUL',MAL REPORTADO EN TC2
169338,'2022-JUL',MAL REPORTADO EN TC2
169418,'2022-JUL',MAL REPORTADO EN TC2
169428,'2022-JUL',PARA REVISION
169458,'2022-JUL',1 [1-PREDIO NO EXISTE]
169562,'2022-JUL',99 [99-LECTURA CONFIRMADA]
169576,'2022-JUL',MAL REPORTADO EN TC2
169578,'2022-JUL',MAL REPORTADO EN TC2
169608,'2022-JUL',MAL REPORTADO EN TC2
169638,'2022-JUL',23 [23-SERV SUSPENDIDO CON MEDIDO]
169682,'2022-JUL',6 [6-PREDIO DESOCUPADO CON LECTU]
169686,'2022-JUL',99 [99-LECTURA CONFIRMADA]
169734,'2022-JUL',99 [99-LECTURA CONFIRMADA]
174668,'2022-JUL',MAL REPORTADO EN TC2
174670,'2022-JUL',MAL REPORTADO EN TC2
175008,'2022-JUL',MAL REPORTADO EN TC2
177452,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
177492,'2022-JUL',99 [99-LECTURA CONFIRMADA]
177550,'2022-JUL',99 [99-LECTURA CONFIRMADA]
177606,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
177628,'2022-JUL',MAL REPORTADO EN TC2
177646,'2022-JUL',99 [99-LECTURA CONFIRMADA]
177652,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
177686,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
177692,'2022-JUL',99 [99-LECTURA CONFIRMADA]
177706,'2022-JUL',99 [99-LECTURA CONFIRMADA]
177718,'2022-JUL',7 [7-EXTREMADAMENTE ALTO]
177722,'2022-JUL',99 [99-LECTURA CONFIRMADA]
177754,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
177762,'2022-JUL',19 [19-REGISTRADOR NO VISIBLE]
177780,'2022-JUL',MAL REPORTADO EN TC2
177784,'2022-JUL',99 [99-LECTURA CONFIRMADA]
